img_path,pred_color1,pred_color2,hsv0_h,hsv0_s,hsv0_v,hsv1_h,hsv1_s,hsv1_v,hex0,hex1,ratio0,ratio1,center_ratio,margin_ratio
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\33.JPG,白色,,202,51,235,,,,#bcdaeb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\33_1.JPG,白色,,42,25,243,,,,#f3ecdb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\33_2.JPG,白色,,48,22,233,,,,#e9e5d5,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\33_3.JPG,白色,,42,30,224,,,,#e0d8c6,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH.JPG,白色,,196,29,238,,,,#d3e7ee,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH_2.JPG,白色,,32,38,201,,,,#c9bbab,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH_6.jpg,白色,,48,5,240,,,,#f0efeb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH_7.jpg,白色,,48,5,240,,,,#f0efeb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH_8.JPG,白色,,32,37,206,,,,#cec0b0,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Famotidine 錠20mg tab\CH_9.JPG,白色,,38,30,210,,,,#d2c9b9,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dailycare Actibest S.C. Tablets\IMG_6980.JPG,黃色,,52,245,251,,,,#fbd90a,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dailycare Actibest S.C. Tablets\IMG_6981.JPG,黃色,,50,252,170,50,251,128,#aa9002,#806902,0.66,0.34,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dailycare Actibest S.C. Tablets\IMG_6982.JPG,黃色,,52,244,227,,,,#e3c40a,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dailycare Actibest S.C. Tablets\Yellow_pill.JPG,黃色,,60,218,201,,,,#c7c91d,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\e_89.JPG,灰色,白色,46,13,173,50,8,204,#adaba4,#cccbc6,0.505,0.495,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6985.JPG,白色,灰色,120,5,220,90,5,187,#d8dcd8,#b9bbb7,0.617,0.383,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6986.JPG,白色,,54,13,198,68,8,217,#c6c5bc,#d8d9d2,0.59,0.41,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6987.JPG,白色,,60,7,228,,,,#e4e4de,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6988.JPG,白色,,72,6,219,70,8,193,#dadbd6,#c0c1bb,0.611,0.389,0.6,0.06
